0.851,0.198,0.484,0.315,0.670,0.376,0.089,0.594,0.644,0.376,A
0.854,0.911,0.964,0.131,0.851,0.084,0.213,0.490,0.583,0.467,A
0.531,0.025,0.612,0.944,0.882,0.897,0.558,0.660,0.530,0.888,A
0.949,0.349,0.365,0.317,0.913,0.924,0.096,0.154,0.528,0.006,A
0.277,0.048,0.440,0.633,0.257,0.824,0.944,0.872,0.229,0.059,A
0.943,0.527,0.872,0.499,0.040,0.076,0.648,0.082,0.097,0.710,A
1.426,0.560,0.149,0.155,0.517,0.731,0.403,0.110,0.481,0.408,B
1.618,0.427,0.036,0.800,0.201,0.030,0.870,0.355,0.275,0.332,B
1.516,0.343,0.784,0.192,0.683,0.750,0.473,0.343,0.729,0.400,B
1.184,0.009,0.447,0.892,0.490,0.319,0.973,0.617,0.735,0.480,B
1.169,0.087,0.372,0.586,0.469,0.259,0.664,0.458,0.345,0.573,B
1.874,0.856,0.914,0.504,0.473,0.084,0.197,0.763,0.015,0.044,B
